"genre","us_creator","type","duration","female_percent","age_13_17","age_18_24","age_25_34","age_35_44","age_45_54","age_55_plus","us_audience","sponsored","monthly_views_growth","followers","uploads_90d","month","dow","live","views"
"Entertainment",1,"media company",2.25,32.92218,10.831733,42.696957,32.20021,8.045365,3.0989232,3.1268113,55.59456,0,0.008088996,4132,570,6,5,0,490.805
"Sports",1,"media company",1.1666666,56.573845,7.026729,49.348198,33.886578,6.3560553,1.6589239,1.7235173,40.1834,0,0.03965205,2051.191,1261,7,5,0,35.858
"Entertainment",1,"media company",2.05,32.92218,10.831733,42.696957,32.20021,8.045365,3.0989232,3.1268113,55.59456,0,0.008088996,4132,570,7,3,0,496.132
"Entertainment",1,"media company",9.8,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,11,5,0,20.613
"Sports",1,"media company",1.5666667,56.573845,7.026729,49.348198,33.886578,6.3560553,1.6589239,1.7235173,40.1834,0,0.03965205,2051.191,1261,7,3,0,114.821
"General Interest",1,"media company",1.1333333,37.165012,3.9920428,16.693565,26.678446,19.388222,17.250755,15.996969,82.20859,0,0.040438768,547.252,2232,9,0,0,37.031
"Entertainment",1,"media company",2.0833333,26.297277,6.10338,41.22508,35.444435,10.348794,3.4559636,3.4223485,72.772446,0,0.026469473,1587.66,1237,9,4,0,102.221
"Sports",1,"media company",1.1333333,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,1,5,0,336.89
"Entertainment",1,"media company",1.1833333,84.25395,4.5475507,33.239635,33.619328,16.457573,6.63893,5.4969864,50.48011,0,0.0026286123,1009.791,49,9,4,0,68.002
"Sports",1,"media company",0.53333336,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,3,4,0,165.006
"Entertainment",1,"media company",1.0833334,32.92218,10.831733,42.696957,32.20021,8.045365,3.0989232,3.1268113,55.59456,0,0.008088996,4132,570,8,4,0,539.092
"Sports",1,"media company",0.33333334,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,3,6,0,122.947
"Entertainment",1,"media company",45.583332,32.92218,10.831733,42.696957,32.20021,8.045365,3.0989232,3.1268113,55.59456,0,0.008088996,4132,570,8,2,0,442.108
"Sports",1,"media company",7.85,56.573845,7.026729,49.348198,33.886578,6.3560553,1.6589239,1.7235173,40.1834,0,0.03965205,2051.191,1261,9,1,0,161.212
"Entertainment",1,"media company",4.7166667,26.297277,6.10338,41.22508,35.444435,10.348794,3.4559636,3.4223485,72.772446,0,0.026469473,1587.66,1237,11,4,0,110.391
"Entertainment",0,"media company",1.5333333,28.145414,2.6426907,37.385746,36.796547,12.2328415,5.3873286,5.5548463,6.583815,0,0.025293006,4265.123,305,9,3,0,225.646
"People & Blogs",1,"influencer",1.1333333,64.93192,28.383286,34.32078,23.387823,8.242947,2.851949,2.813215,48.651318,0,0.0031446365,505.046,57,2,3,0,47.589
"Entertainment",0,"media company",8.45,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,11,3,0,55.212
"Entertainment",0,"media company",3.0833333,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,10,2,0,39.619
"Entertainment",1,"media company",0.25,78.55153,11.901507,51.16927,30.707308,3.8730226,1.1526252,1.1962651,21.99459,0,0.0029714042,1390.791,43,1,6,0,293.649
"Entertainment",0,"media company",6.116667,28.145414,2.6426907,37.385746,36.796547,12.2328415,5.3873286,5.5548463,6.583815,0,0.025293006,4265.123,305,10,3,0,507.014
"Sports",1,"media company",1,10.195684,8.936993,35.938076,29.820343,10.013515,6.872728,8.4183445,47.65,0,0.025362939,2272.45,972,2,4,0,54.717
"Sports",1,"media company",0.4,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,5,2,0,74.752
"Sports",1,"media company",10.216666,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,6,5,0,62.446
"Sports",1,"media company",0.68333334,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,1,0.011439679,2837.649,562,6,4,0,89.707
"Sports",1,"media company",0.7,12.32332,7.079479,36.032818,31.513014,10.496555,7.0759273,7.802206,77.79328,0,0.0017987216,1270.477,167,2,3,0,28.813
"Sports",1,"media company",0.5833333,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,1,0.011439679,2837.649,562,7,6,0,46.621
"Sports",1,"media company",0.3,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,7,4,0,184.103
"Sports",1,"media company",1.2,56.573845,7.026729,49.348198,33.886578,6.3560553,1.6589239,1.7235173,40.1834,0,0.03965205,2051.191,1261,12,4,0,15.153
"Entertainment",1,"media company",0.16666667,78.55153,11.901507,51.16927,30.707308,3.8730226,1.1526252,1.1962651,21.99459,0,0.0029714042,1390.791,43,3,6,0,47.545
"Sports",1,"media company",0.4,12.024639,2.794941,23.261164,31.368101,17.447468,12.551165,12.577163,30.856287,0,0.05302412,972.221,1118,1,2,0,31.086
"Sports",1,"media company",0.26666668,12.024639,2.794941,23.261164,31.368101,17.447468,12.551165,12.577163,30.856287,0,0.05302412,972.221,1118,1,5,0,68.549
"Entertainment",0,"media company",3.0333333,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,1,6,0,13.283
"People & Blogs",0,"influencer",0.25,10.955563,12.947329,42.686913,29.634592,6.169991,3.8022358,4.758938,10.432212,0,0.012927582,2508.49,46,2,4,0,425.112
"Sports",1,"media company",0.46666667,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,8,3,0,264.28
